car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Rebellion Racing #13,28,9,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Cota,6,2014,88,4:04:55.059,69 Laps,23 Laps,Michelin,Not classified,18.0,1:54.576,173.3,Dominik KRAIHAMER,Andrea BELICCHI,Fabio LEIMER
SMP Racing #37,29,5,SMP Racing,Oreca 03R - Nissan,LMP2,,Cota,6,2014,75,3:36:27.829,82 Laps,13 Laps,Michelin,Not classified,3.0,1:59.456,166.2,Kirill LADYGIN,Viktor SHAITAR,Anton LADYGIN
Toyota Racing #8,1,1,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Fuji,6,2014,236,6:00:39.367,,,Michelin,Classified,222.0,1:27.815,187.1,Anthony DAVIDSON,Sébastien BUEMI,
Toyota Racing #7,2,2,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Fuji,6,2014,236,6:01:04.994,25.627,25.627,Michelin,Classified,210.0,1:27.887,186.9,Alexander WURZ,Stéphane SARRAZIN,Kazuki NAKAJIMA
Porsche Team #20,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,H,Fuji,6,2014,235,6:01:53.875,1 Laps,1 Laps,Michelin,Classified,12.0,1:27.759,187.2,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Porsche Team #14,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,H,Fuji,6,2014,234,6:01:19.485,2 Laps,1 Laps,Michelin,Classified,191.0,1:28.533,185.5,Romain DUMAS,Neel JANI,Marc LIEB
Audi Sport Team Joest #1,5,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Fuji,6,2014,234,6:01:36.302,2 Laps,16.817,Michelin,Classified,73.0,1:28.609,185.4,Lucas DI GRASSI,Loïc DUVAL,Tom KRISTENSEN
Audi Sport Team Joest #2,6,6,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Fuji,6,2014,233,6:01:31.183,3 Laps,1 Laps,Michelin,Classified,11.0,1:28.898,184.8,Marcel FÄSSLER,André LOTTERER,Benoit TRÉLUYER
G-Drive Racing #26,7,1,G-Drive Racing,Ligier JS P2 - Nissan,LMP2,,Fuji,6,2014,219,6:01:05.703,17 Laps,14 Laps,Dunlop,Classified,199.0,1:33.996,174.8,Roman RUSINOV,Olivier PLA,Julien CANAL
KCMG #47,8,2,KCMG,Oreca 03R - Nissan,LMP2,,Fuji,6,2014,219,6:01:11.137,17 Laps,5.434,Dunlop,Classified,22.0,1:34.231,174.3,Matthew HOWSON,Richard BRADLEY,Alexandre IMPERATORI
OAK Racing #35,9,3,OAK Racing,Morgan - Judd,LMP2,,Fuji,6,2014,216,6:01:47.663,20 Laps,3 Laps,Dunlop,Classified,7.0,1:34.645,173.6,Keiko IHARA,Gustavo YACAMAN,Alex BRUNDLE
SMP Racing #27,10,4,SMP Racing,Oreca 03R - Nissan,LMP2,,Fuji,6,2014,215,6:01:05.098,21 Laps,1 Laps,Michelin,Classified,5.0,1:35.001,172.9,Sergey ZLOBIN,Nicolas MINASSIAN,Maurizio MEDIANI
Rebellion Racing #13,11,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Fuji,6,2014,215,6:01:28.985,21 Laps,23.887,Michelin,Classified,7.0,1:32.080,178.4,Dominik KRAIHAMER,Andrea BELICCHI,Fabio LEIMER
SMP Racing #37,12,5,SMP Racing,Oreca 03R - Nissan,LMP2,,Fuji,6,2014,212,6:02:08.311,24 Laps,3 Laps,Michelin,Classified,10.0,1:34.863,173.2,Kirill LADYGIN,Viktor SHAITAR,Anton LADYGIN
AF Corse #51,13,1,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Fuji,6,2014,208,6:01:30.795,28 Laps,4 Laps,Michelin,Classified,72.0,1:40.711,163.1,Gianmaria BRUNI,Toni VILANDER,
AF Corse #71,14,2,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Fuji,6,2014,208,6:01:33.697,28 Laps,2.902,Michelin,Classified,74.0,1:40.696,163.1,Davide RIGON,James CALADO,
Aston Martin Racing #99,15,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Fuji,6,2014,208,6:02:12.747,28 Laps,39.050,Michelin,Classified,6.0,1:40.609,163.3,Alex MACDOWALL,Darryl O'YOUNG,Fernando REES
Porsche Team Manthey #91,16,4,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Fuji,6,2014,207,6:01:01.266,29 Laps,1 Laps,Michelin,Classified,32.0,1:40.716,163.1,Jörg BERGMEISTER,Richard LIETZ,
Aston Martin Racing #95,17,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Fuji,6,2014,207,6:01:32.028,29 Laps,30.762,Michelin,Classified,10.0,1:40.766,163.0,Kristian POULSEN,David HEINEMEIER-HANSSON,Nicki THIIM
Aston Martin Racing #98,18,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Fuji,6,2014,207,6:02:08.470,29 Laps,36.442,Michelin,Classified,6.0,1:40.797,163.0,Paul DALLA LANA,Pedro LAMY,Christoffer NYGAARD
Prospeed Competition #75,19,3,Prospeed Competition,Porsche 911 RSR,LMGTE Am,,Fuji,6,2014,204,6:01:05.291,32 Laps,3 Laps,Michelin,Classified,121.0,1:41.286,162.2,François PERRODO,Emmanuel COLLARD,Matthieu VAXIVIÈRE
Proton Competition #88,20,4,Proton Competition,Porsche 911 RSR,LMGTE Am,,Fuji,6,2014,204,6:01:05.952,32 Laps,0.661,Michelin,Classified,175.0,1:41.272,162.2,Christian RIED,Klaus BACHLER,Khaled AL QUBAISI
Aston Martin Racing #97,21,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Fuji,6,2014,204,6:01:22.656,32 Laps,16.704,Michelin,Classified,28.0,1:40.532,163.4,Darren TURNER,Stefan MÜCKE,
AF Corse #61,22,5,AF Corse,Ferrari F458 Italia,LMGTE Am,,Fuji,6,2014,203,6:01:11.218,33 Laps,1 Laps,Michelin,Classified,138.0,1:41.253,162.2,Bret CURTIS,Jeroen BLEEKEMOLEN,Michael SKEEN
Porsche Team Manthey #92,23,6,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Fuji,6,2014,202,6:02:09.083,34 Laps,1 Laps,Michelin,Classified,9.0,1:41.239,162.3,Frédéric MAKOWIECKI,Patrick PILET,
Rebellion Racing #12,24,8,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Fuji,6,2014,179,6:01:49.808,57 Laps,23 Laps,Michelin,Classified,8.0,1:31.658,179.2,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
Lotus #9,25,9,Lotus,CLM P1/01 - AER,LMP1,L,Fuji,6,2014,181,5:01:57.280,55 Laps,-2 Laps,Michelin,Not classified,32.0,1:33.780,175.2,Christophe BOUCHUT,James ROSSITER,Pierre KAFFER
AF Corse #81,26,6,AF Corse,Ferrari F458 Italia,LMGTE Am,,Fuji,6,2014,169,4:58:29.781,67 Laps,12 Laps,Michelin,Not classified,116.0,1:41.518,161.8,Stephen WYATT,Michele RUGOLO,Andrea BERTOLINI
8 Star Motorsports #90,27,7,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,,Fuji,6,2014,64,1:51:47.196,172 Laps,105 Laps,Michelin,Not classified,4.0,1:41.488,161.9,Gianluca RODA,Paolo RUBERTI,Jeffrey SEGAL
Porsche Team #14,1,1,Porsche Team,Porsche 919 Hybrid,LMP1,H,Interlagos,6,2014,249,6:01:44.608,,,Michelin,Classified,219.0,1:18.408,197.8,Romain DUMAS,Neel JANI,Marc LIEB
Toyota Racing #8,2,2,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Interlagos,6,2014,249,6:01:44.778,0.170,0.170,Michelin,Classified,224.0,1:18.399,197.9,Anthony DAVIDSON,Sébastien BUEMI,
Audi Sport Team Joest #1,3,3,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Interlagos,6,2014,248,6:01:45.711,1 Laps,1 Laps,Michelin,Classified,169.0,1:18.413,197.8,Lucas DI GRASSI,Loïc DUVAL,Tom KRISTENSEN
Toyota Racing #7,4,4,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,Interlagos,6,2014,248,6:01:47.120,1 Laps,1.409,Michelin,Classified,221.0,1:18.778,196.9,Alexander WURZ,Stéphane SARRAZIN,Mike CONWAY
Audi Sport Team Joest #2,5,5,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,Interlagos,6,2014,248,6:02:13.223,1 Laps,26.103,Michelin,Classified,188.0,1:18.367,197.9,Marcel FÄSSLER,André LOTTERER,Benoit TRÉLUYER
KCMG #47,6,1,KCMG,Oreca 03R - Nissan,LMP2,,Interlagos,6,2014,225,6:01:45.262,24 Laps,23 Laps,Dunlop,Classified,26.0,1:25.344,181.8,Matthew HOWSON,Richard BRADLEY,Alexandre IMPERATORI
Aston Martin Racing #97,7,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Interlagos,6,2014,221,6:01:46.553,28 Laps,4 Laps,Michelin,Classified,147.0,1:30.288,171.8,Darren TURNER,Stefan MÜCKE,
Porsche Team Manthey #92,8,2,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Interlagos,6,2014,221,6:01:54.148,28 Laps,7.595,Michelin,Classified,196.0,1:30.101,172.2,Frédéric MAKOWIECKI,Patrick PILET,
AF Corse #71,9,3,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Interlagos,6,2014,221,6:01:59.219,28 Laps,5.071,Michelin,Classified,146.0,1:30.644,171.1,Davide RIGON,James CALADO,
AF Corse #51,10,4,AF Corse,Ferrari F458 Italia,LMGTE Pro,,Interlagos,6,2014,220,6:01:51.558,29 Laps,1 Laps,Michelin,Classified,132.0,1:30.742,171.0,Gianmaria BRUNI,Toni VILANDER,
Aston Martin Racing #99,11,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Interlagos,6,2014,220,6:01:53.341,29 Laps,1.783,Michelin,Classified,196.0,1:30.608,171.2,Alex MACDOWALL,Darryl O'YOUNG,Fernando REES
Porsche Team Manthey #91,12,6,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,Interlagos,6,2014,220,6:01:55.627,29 Laps,2.286,Michelin,Classified,192.0,1:30.633,171.2,Jörg BERGMEISTER,Richard LIETZ,
Aston Martin Racing #98,13,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Interlagos,6,2014,219,6:01:56.921,30 Laps,1 Laps,Michelin,Classified,140.0,1:30.398,171.6,Paul DALLA LANA,Pedro LAMY,Christoffer NYGAARD
Aston Martin Racing #95,14,2,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Interlagos,6,2014,219,6:02:02.019,30 Laps,5.098,Michelin,Classified,187.0,1:30.892,170.7,Kristian POULSEN,David HEINEMEIER-HANSSON,Nicki THIIM
AF Corse #81,15,3,AF Corse,Ferrari F458 Italia,LMGTE Am,,Interlagos,6,2014,219,6:02:17.586,30 Laps,15.567,Michelin,Classified,198.0,1:31.300,169.9,Stephen WYATT,Michele RUGOLO,Andrea BERTOLINI
Proton Competition #88,16,4,Proton Competition,Porsche 911 RSR,LMGTE Am,,Interlagos,6,2014,217,6:01:57.724,32 Laps,2 Laps,Michelin,Classified,192.0,1:31.032,170.4,Christian RIED,Klaus BACHLER,Khaled AL QUBAISI
Prospeed Competition #75,17,5,Prospeed Competition,Porsche 911 RSR,LMGTE Am,,Interlagos,6,2014,217,6:02:12.547,32 Laps,14.823,Michelin,Classified,203.0,1:31.155,170.2,François PERRODO,Emmanuel COLLARD,Matthieu VAXIVIÈRE
Rebellion Racing #13,18,6,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Interlagos,6,2014,214,6:01:55.263,35 Laps,3 Laps,Michelin,Classified,126.0,1:21.539,190.2,Dominik KRAIHAMER,Andrea BELICCHI,Fabio LEIMER
Rebellion Racing #12,19,7,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,Interlagos,6,2014,211,6:02:15.021,38 Laps,3 Laps,Michelin,Classified,82.0,1:21.115,191.2,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
SMP Racing #27,20,2,SMP Racing,Oreca 03R - Nissan,LMP2,,Interlagos,6,2014,207,6:02:01.121,42 Laps,4 Laps,Michelin,Classified,21.0,1:25.727,181.0,Sergey ZLOBIN,Nicolas MINASSIAN,Maurizio MEDIANI
AF Corse #61,21,6,AF Corse,Ferrari F458 Italia,LMGTE Am,,Interlagos,6,2014,186,6:02:03.318,63 Laps,21 Laps,Michelin,Classified,168.0,1:31.167,170.2,Emerson FITTIPALDI,Alessandro PIER GUIDI,Jeffrey SEGAL
Porsche Team #20,22,8,Porsche Team,Porsche 919 Hybrid,LMP1,H,Interlagos,6,2014,236,5:30:53.778,13 Laps,-50 Laps,Michelin,Not classified,33.0,1:18.617,197.3,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
8 Star Motorsports #90,23,7,8 Star Motorsports,Ferrari F458 Italia,LMGTE Am,,Interlagos,6,2014,205,5:30:43.463,44 Laps,31 Laps,Michelin,Not classified,137.0,1:31.351,169.8,Gianluca RODA,Paolo RUBERTI,Matteo CRESSONI
SMP Racing #37,24,3,SMP Racing,Oreca 03R - Nissan,LMP2,,Interlagos,6,2014,136,3:31:09.715,113 Laps,69 Laps,Michelin,Not classified,10.0,1:26.113,180.1,Kirill LADYGIN,Viktor SHAITAR,Anton LADYGIN
Lotus #9,25,9,Lotus,CLM P1/01 - AER,LMP1,L,Interlagos,6,2014,60,1:56:24.391,189 Laps,76 Laps,Michelin,Not classified,18.0,1:22.635,187.7,Pierre KAFFER,Lucas AUER,
G-Drive Racing #26,26,4,G-Drive Racing,Ligier JS P2 - Nissan,LMP2,,Interlagos,6,2014,41,1:00:09.545,208 Laps,19 Laps,Dunlop,Not classified,28.0,1:24.916,182.7,Roman RUSINOV,Olivier PLA,Julien CANAL
Audi Sport Team Joest #2,1,1,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,LeMans,24,2014,379,24:01:59.830,,,Michelin,Classified,317.0,3:22.567,242.2,Marcel FÄSSLER,André LOTTERER,Benoit TRÉLUYER
Audi Sport Team Joest #1,2,2,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,LeMans,24,2014,376,24:02:00.046,3 Laps,3 Laps,Michelin,Classified,3.0,3:24.393,240.0,Lucas DI GRASSI,Marc GENÉ,Tom KRISTENSEN
Toyota Racing #8,3,3,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,LeMans,24,2014,374,24:02:48.616,5 Laps,2 Laps,Michelin,Classified,4.0,3:23.117,241.6,Anthony DAVIDSON,Nicolas LAPIERRE,Sébastien BUEMI
Rebellion Racing #12,4,4,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,LeMans,24,2014,360,24:04:23.295,19 Laps,14 Laps,Michelin,Classified,303.0,3:28.466,235.4,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
Jota Sport #38,5,1,Jota Sport,Zytek Z11SN - Nissan,LMP2,,LeMans,24,2014,356,24:05:18.968,23 Laps,4 Laps,Dunlop,Classified,325.0,3:38.285,224.8,Simon DOLAN,Harry TINCKNELL,Oliver TURVEY
Thiriet By TDS Racing #46,6,2,Thiriet By TDS Racing,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2014,355,24:02:03.737,24 Laps,1 Laps,Dunlop,Classified,326.0,3:37.793,225.3,Pierre THIRIET,Ludovic BADEY,Tristan GOMMENDY
Signatech Alpine #36,7,3,Signatech Alpine,Alpine A450b - Nissan,LMP2,,LeMans,24,2014,355,24:04:40.164,24 Laps,2'36.427,Dunlop,Classified,326.0,3:37.787,225.3,Paul-Loup CHATIN,Nelson PANCIATICI,Oliver WEBB
Sebastien Loeb Racing #24,8,4,Sebastien Loeb Racing,Oreca 03R - Nissan,LMP2,,LeMans,24,2014,354,24:02:37.077,25 Laps,1 Laps,Michelin,Classified,342.0,3:39.873,223.1,René RAST,Jan CHAROUZ,Vincent CAPILLAIRE
OAK Racing #35,9,5,OAK Racing,Ligier - Nissan,LMP2,,LeMans,24,2014,354,24:04:24.828,25 Laps,1'47.751,Dunlop,Classified,228.0,3:38.032,225.0,Alex BRUNDLE,Jann MARDENBOROUGH,Mark SHULZHITSKIY
Newblood By Morand Racing #43,10,6,Newblood By Morand Racing,Morgan - Judd,LMP2,,LeMans,24,2014,352,24:04:50.564,27 Laps,2 Laps,Dunlop,Classified,292.0,3:40.254,222.8,Christian KLIEN,Gary HIRSCH,Romain BRANDELA
Porsche Team #14,11,5,Porsche Team,Porsche 919 Hybrid,LMP1,H,LeMans,24,2014,348,24:02:00.809,31 Laps,4 Laps,Michelin,Classified,4.0,3:24.899,239.5,Romain DUMAS,Neel JANI,Marc LIEB
OAK Racing - Team Asia #33,12,7,OAK Racing - Team Asia,Ligier JS P2 - HPD,LMP2,,LeMans,24,2014,347,24:02:09.711,32 Laps,1 Laps,Michelin,Classified,246.0,3:40.261,222.8,David CHENG,Ho-Pin TUNG,Adderly FONG
Race Performance #34,13,8,Race Performance,Oreca 03R - Judd,LMP2,,LeMans,24,2014,342,24:04:20.403,37 Laps,5 Laps,Dunlop,Classified,293.0,3:40.256,222.8,Michel FREY,Franck MAILLEUX,Jon LANCASTER
Larbre Competition #50,14,9,Larbre Competition,Morgan - Judd,LMP2,,LeMans,24,2014,341,24:07:24.504,38 Laps,1 Laps,Michelin,Classified,269.0,3:43.486,219.5,Pierre RAGUES,Ricky TAYLOR,Keiko IHARA
AF Corse #51,15,1,AF Corse,Ferrari 458 Italia,LMGTE Pro,,LeMans,24,2014,339,24:02:02.453,40 Laps,2 Laps,Michelin,Classified,256.0,3:54.566,209.2,Gianmaria BRUNI,Toni VILANDER,Giancarlo FISICHELLA
Corvette Racing #73,16,2,Corvette Racing,Chevrolet Corvette - C7,LMGTE Pro,,LeMans,24,2014,338,24:02:32.384,41 Laps,1 Laps,Michelin,Classified,318.0,3:53.869,209.8,Jan MAGNUSSEN,Antonio GARCIA,Jordan TAYLOR
Porsche Team Manthey #92,17,3,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,LeMans,24,2014,337,24:02:30.592,42 Laps,1 Laps,Michelin,Classified,210.0,3:54.557,209.2,Marco HOLZER,Frédéric MAKOWIECKI,Richard LIETZ
Pegasus Racing #29,18,10,Pegasus Racing,Morgan - Nissan,LMP2,,LeMans,24,2014,336,24:02:01.608,43 Laps,1 Laps,Dunlop,Classified,271.0,3:39.503,223.5,Julien SCHELL,Nicolas LEUTWILER,Léo ROUSSEL
Aston Martin Racing #95,19,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,LeMans,24,2014,334,24:02:07.252,45 Laps,2 Laps,Michelin,Classified,11.0,3:55.798,208.1,Kristian POULSEN,David HEINEMEIER-HANSSON,Nicki THIIM
Corvette Racing #74,20,4,Corvette Racing,Chevrolet Corvette - C7,LMGTE Pro,,LeMans,24,2014,333,24:05:23.009,46 Laps,1 Laps,Michelin,Classified,276.0,3:54.652,209.1,Oliver GAVIN,Tommy MILNER,Richard WESTBROOK
Proton Competition #88,21,2,Proton Competition,Porsche 911 RSR,LMGTE Am,,LeMans,24,2014,332,24:04:19.744,47 Laps,1 Laps,Michelin,Classified,314.0,3:57.372,206.7,Christian RIED,Klaus BACHLER,Khaled AL QUBAISI
AF Corse #61,22,3,AF Corse,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,331,24:02:16.626,48 Laps,1 Laps,Michelin,Classified,3.0,3:57.373,206.7,Luis PEREZ-COMPANC,Marco CIOCI,Mirko VENTURI
8 Star Motorsports #90,23,4,8 Star Motorsports,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,330,24:02:02.923,49 Laps,1 Laps,Michelin,Classified,5.0,3:56.672,207.3,Franck MONTECALVO,Gianluca RODA,Paolo RUBERTI
Dempsey Racing - Proton #77,24,5,Dempsey Racing - Proton,Porsche 911 RSR,LMGTE Am,,LeMans,24,2014,329,24:02:06.312,50 Laps,1 Laps,Michelin,Classified,308.0,3:56.451,207.5,Patrick DEMPSEY,Joe FOSTER,Patrick LONG
Caterham Racing #42,25,11,Caterham Racing,Zytek Z11SN - Nissan,LMP2,,LeMans,24,2014,329,24:02:10.667,50 Laps,4.355,Dunlop,Classified,272.0,3:40.039,223.0,Thomas KIMBER-SMITH,Matthew McMURRY,Chris DYSON
Aston Martin Racing #98,26,6,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,LeMans,24,2014,329,24:02:49.288,50 Laps,38.621,Michelin,Classified,283.0,3:54.480,209.2,Paul DALLA LANA,Pedro LAMY,Christoffer NYGAARD
JMW Motorsport #66,27,7,JMW Motorsport,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,327,24:02:58.009,52 Laps,2 Laps,Michelin,Classified,255.0,3:57.146,206.9,Abdulaziz Turki AL FAISAL,Seth NEIMAN,Spencer PUMPELLY
Team Taisan #70,28,8,Team Taisan,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,327,24:04:38.095,52 Laps,1'40.086,Michelin,Classified,275.0,4:00.847,203.7,Shinji NAKANO,Pierre EHRET,Martin RICH
Team Sofrev ASP #58,29,9,Team Sofrev ASP,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,325,24:02:35.128,54 Laps,2 Laps,Michelin,Classified,282.0,3:58.437,205.8,Fabien BARTHEZ,Anthony PONS,Soheil AYARI
Krohn Racing #57,30,10,Krohn Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,324,24:02:08.834,55 Laps,1 Laps,Michelin,Classified,299.0,3:56.752,207.2,Tracy KROHN,Niclas JÖNSSON,Ben COLLINS
IMSA Performance Matmut #76,31,11,IMSA Performance Matmut,Porsche 911 GT3 RSR,LMGTE Am,,LeMans,24,2014,323,24:02:03.614,56 Laps,1 Laps,Michelin,Classified,87.0,3:58.823,205.4,Raymond NARAC,Nicolas ARMINDO,David HALLYDAY
RAM Racing #53,32,12,RAM Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,319,24:04:04.804,60 Laps,4 Laps,Michelin,Classified,196.0,3:58.495,205.7,Johnny MOWLEM,Mark PATTERSON,Archie HAMILTON
Prospeed Competition #79,33,5,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Pro,,LeMans,24,2014,319,24:05:21.315,60 Laps,1'16.511,Michelin,Classified,2.0,4:01.466,203.2,Cooper MacNEIL,Jeroen BLEEKEMOLEN,
IMSA Performance Matmut #67,34,13,IMSA Performance Matmut,Porsche 911 GT3 RSR,LMGTE Am,,LeMans,24,2014,317,24:06:04.896,62 Laps,2 Laps,Michelin,Classified,250.0,3:58.450,205.8,Erik MARIS,Jean MERLIN,Eric HELARY
Aston Martin Racing #97,35,6,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,LeMans,24,2014,310,24:02:07.952,69 Laps,7 Laps,Michelin,Classified,272.0,3:53.763,209.9,Darren TURNER,Stefan MÜCKE,Bruno SENNA
Porsche Team Manthey #91,36,7,Porsche Team Manthey,Porsche 911 RSR,LMGTE Pro,,LeMans,24,2014,309,24:02:30.661,70 Laps,1 Laps,Michelin,Classified,280.0,3:55.343,208.5,Patrick PILET,Jörg BERGMEISTER,Nick TANDY
SMP Racing #27,37,12,SMP Racing,Oreca 03R - Nissan,LMP2,,LeMans,24,2014,303,24:04:38.239,76 Laps,6 Laps,Michelin,Classified,266.0,3:40.004,223.0,Sergey ZLOBIN,Mika SALO,Anton LADYGIN
AF Corse #62,38,14,AF Corse,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,295,24:05:29.956,84 Laps,8 Laps,Michelin,Classified,242.0,4:02.954,201.9,Yannick MALLEGOL,Jean-Marc BACHELIER,Howard BLANK
Porsche Team #20,39,6,Porsche Team,Porsche 919 Hybrid,LMP1,H,LeMans,24,2014,346,22:05:29.316,33 Laps,-51 Laps,Michelin,Not classified,4.0,3:25.532,238.7,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Toyota Racing #7,40,7,Toyota Racing,Toyota TS 040 - Hybrid,LMP1,H,LeMans,24,2014,219,13:53:48.661,160 Laps,127 Laps,Michelin,Retired,4.0,3:23.112,241.6,Alexander WURZ,Stéphane SARRAZIN,Kazuki NAKAJIMA
SMP Racing #72,41,15,SMP Racing,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,196,15:57:47.838,183 Laps,23 Laps,Michelin,Retired,123.0,3:56.932,207.1,Andrea BERTOLINI,Viktor SHAITAR,Aleksey BASOV
Prospeed Competition #75,42,16,Prospeed Competition,Porsche 911 GT3 RSR,LMGTE Am,,LeMans,24,2014,194,17:05:27.577,185 Laps,2 Laps,Michelin,Retired,172.0,4:00.431,204.1,François PERRODO,Emmanuel COLLARD,Markus PALTTALA
RAM Racing #52,43,8,RAM Racing,Ferrari 458 Italia,LMGTE Pro,,LeMans,24,2014,140,15:33:01.189,239 Laps,54 Laps,Michelin,Retired,12.0,3:57.916,206.2,Matt GRIFFIN,Alvaro PARENTE,Federico LEO
G-Drive Racing #26,44,13,G-Drive Racing,Morgan - Nissan,LMP2,,LeMans,24,2014,120,8:37:50.074,259 Laps,20 Laps,Dunlop,Retired,119.0,3:39.196,223.8,Roman RUSINOV,Olivier PLA,Julien CANAL
AF Corse #60,45,17,AF Corse,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,115,8:58:40.598,264 Laps,5 Laps,Michelin,Retired,81.0,3:57.491,206.6,Peter MANN,Lorenzo CASÉ,Raffaele GIAMMARIA
KCMG #47,46,14,KCMG,Oreca 03R - Nissan,LMP2,,LeMans,24,2014,87,6:26:20.155,292 Laps,28 Laps,Dunlop,Retired,2.0,3:40.299,222.7,Matthew HOWSON,Richard BRADLEY,Alexandre IMPERATORI
Rebellion Racing #13,47,8,Rebellion Racing,Rebellion R-One - Toyota,LMP1,L,LeMans,24,2014,73,5:35:57.725,306 Laps,14 Laps,Michelin,Retired,5.0,3:31.009,232.5,Dominik KRAIHAMER,Andrea BELICCHI,Fabio LEIMER
Murphy Prototypes #48,48,15,Murphy Prototypes,Oreca 03R - Nissan,LMP2,,LeMans,24,2014,73,7:32:55.339,306 Laps,1:56'57.614,Dunlop,Retired,40.0,3:39.560,223.5,Nathanael BERTHON,Rodolfo GONZALEZ,Karun CHANDHOK
Greaves Motorsport #41,49,16,Greaves Motorsport,Zytek Z11SN - Nissan,LMP2,,LeMans,24,2014,31,2:40:28.539,348 Laps,42 Laps,Dunlop,Retired,4.0,3:43.621,219.4,Michael MUNEMMAN,Alessandro LATIF,James WINSLOW
AF Corse #71,50,9,AF Corse,Ferrari 458 Italia,LMGTE Pro,,LeMans,24,2014,28,2:19:47.219,351 Laps,3 Laps,Michelin,Retired,5.0,3:57.521,206.6,Davide RIGON,Pierre KAFFER,Olivier BERETTA
Audi Sport Team Joest #3,51,9,Audi Sport Team Joest,Audi R18 e-tron quattro,LMP1,H,LeMans,24,2014,25,1:29:25.945,354 Laps,3 Laps,Michelin,Retired,3.0,3:24.274,240.2,Filipe ALBUQUERQUE,Marco BONANOMI,Oliver JARVIS
AF Corse #81,52,18,AF Corse,Ferrari 458 Italia,LMGTE Am,,LeMans,24,2014,22,1:29:38.142,357 Laps,3 Laps,Michelin,Retired,2.0,3:56.241,207.7,Stephen WYATT,Michele RUGOLO,Sam BIRD
